Test 1
1.81104 0.0036466 0.003245
1.86264 0.0035955 0.0033674
1.82212 0.0036561 0.0032013
Test 10
0.096777 0.0001374 0.0001678
0.0976047 0.0001374 0.0001634
0.0958727 0.0001372 0.0001644
0.0987959 0.0001405 0.0001683
0.0971218 0.0001395 0.0001662
0.0998235 0.000138 0.0001652
0.0959909 0.0001381 0.0001656
0.0975542 0.0001391 0.0001647
0.0989913 0.0001409 0.000168
0.097021 0.0001386 0.0001618
Sorted
3.64023 0.003731 0.0033638
3.629 0.0036482 0.00333
3.69203 0.0036358 0.0033546
3.63777 0.003638 0.0032703
3.66163 0.0037693 0.0032284
3.71151 0.0036212 0.0034785
3.74104 0.0037177 0.0033763
3.61007 0.0036216 0.0033277
3.69541 0.0036635 0.0035435
3.62238 0.0036209 0.0033451
