Test 1
0.464726 0.0003325 0.0019974
0.465543 0.0003199 0.0020959
Test 10
1.47669 0.0001899 0.0020979
1.42709 0.0001901 0.0021278
1.47616 0.0001921 0.0023345
1.43891 0.0001871 0.0021766
1.54766 0.000187 0.0021401
1.46625 0.0001925 0.0021076
1.51295 0.0001887 0.0021154
1.45514 0.0001891 0.0021284
1.41682 0.0001884 0.002268
1.41679 0.0001857 0.0021241
Sorted
0.977692 0.0003267 0.0022629
0.978483 0.0003188 0.002287
0.976791 0.0003272 0.002225
0.974378 0.0003218 0.0022497
0.973492 0.0003323 0.0022356
0.980158 0.00032 0.0022921
0.972421 0.000325 0.0024275
0.977224 0.0003296 0.0022417
0.988229 0.000333 0.0022403
1.00396 0.0003285 0.002241
