
Test: 0

 Remove : 
     Ñartesian                   AVL 
34)      7.73e-05              7.5e-06
35)      7.66e-05              7.5e-06
36)      8.01e-05              7.7e-06
37)      7.68e-05              7.7e-06
38)      8.49e-05              7.6e-06
39)      7.68e-05              7.6e-06
40)      7.71e-05              7.9e-06
41)      0.000172              1.72e-05
42)      0.000113              7.6e-06
43)      7.73e-05              7.8e-06
44)      7.7e-05              7.6e-06
45)      7.77e-05              7.6e-06
46)      0.0001722              1.67e-05
47)      7.73e-05              8.4e-06
48)      0.0001773              1.77e-05
49)      7.78e-05              8e-06
50)      7.67e-05              7.7e-06

Test: 4

 Remove : 
     Ñartesian                   AVL 
1)      7.72e-05              8.1e-06
2)      7.79e-05              7.6e-06
3)      0.0001736              1.67e-05
4)      8.05e-05              7.8e-06
5)      7.77e-05              7.6e-06
6)      7.69e-05              7.7e-06
7)      7.72e-05              7.7e-06
8)      7.75e-05              7.6e-06
9)      0.0001049              7.8e-06
10)      7.69e-05              7.8e-06
11)      7.67e-05              7.8e-06
12)      7.73e-05              7.7e-06
13)      0.0001706              1.69e-05
14)      7.8e-05              7.6e-06
15)      7.74e-05              7.6e-06
16)      7.71e-05              7.7e-06
17)      8.01e-05              7.6e-06
18)      7.72e-05              7.9e-06
19)      7.71e-05              7.6e-06
20)      0.0002086              7.5e-06
21)      8.15e-05              7.6e-06
22)      7.81e-05              7.6e-06
23)      7.69e-05              7.9e-06
24)      7.68e-05              7.6e-06
25)      7.65e-05              7.6e-06
26)      7.68e-05              7.6e-06
27)      9.11e-05              7.9e-06
28)      0.000173              1.68e-05
29)      0.0001722              1.67e-05
30)      7.74e-05              8e-06
31)      7.71e-05              7.6e-06
32)      7.78e-05              7.6e-06
33)      0.0001729              1.68e-05
34)      7.65e-05              7.6e-06
35)      7.67e-05              7.8e-06
36)      0.0001752              1.22e-05
37)      7.96e-05              7.6e-06
38)      0.0001717              7.9e-06
39)      7.74e-05              8.1e-06
40)      7.79e-05              7.8e-06
41)      7.74e-05              7.7e-06
42)      7.67e-05              7.6e-06
43)      7.82e-05              7.7e-06
44)      7.75e-05              7.7e-06
45)      7.67e-05              7.6e-06
46)      7.67e-05              7.8e-06
47)      7.77e-05              8e-06
48)      7.72e-05              7.9e-06
49)      0.0001646              7.6e-06
50)      7.66e-05              7.6e-06

Test: 5

 Remove : 
     Ñartesian                   AVL 
1)      7.67e-05              7.9e-06
2)      7.65e-05              7.6e-06
3)      7.71e-05              7.6e-06
4)      7.73e-05              7.8e-06
5)      0.0001725              1.68e-05
6)      7.85e-05              7.6e-06
7)      7.8e-05              7.6e-06
8)      7.66e-05              7.6e-06
9)      7.71e-05              7.7e-06
10)      8.28e-05              7.6e-06
11)      7.75e-05              8e-06
12)      7.74e-05              7.7e-06
13)      7.66e-05              8.3e-06
14)      7.68e-05              7.5e-06
15)      7.71e-05              7.6e-06
16)      7.68e-05              7.7e-06
17)      7.73e-05              7.5e-06
18)      7.72e-05              7.6e-06
19)      7.84e-05              7.6e-06
20)      0.000145              8.5e-06
21)      0.0001741              1.71e-05
22)      7.76e-05              7.6e-06
23)      8e-05              8.5e-06
24)      7.71e-05              7.7e-06
25)      7.67e-05              7.8e-06
26)      7.66e-05              7.6e-06
27)      7.71e-05              7.6e-06
28)      7.77e-05              1.39e-05
29)      7.67e-05              7.6e-06
30)      7.77e-05              7.8e-06
31)      7.65e-05              7.8e-06
32)      7.95e-05              7.8e-06
33)      7.75e-05              7.7e-06
34)      0.000235              2.3e-05
35)      7.9e-05              7.5e-06
36)      7.72e-05              7.6e-06
37)      7.7e-05              7.6e-06
38)      7.66e-05              7.9e-06
39)      7.66e-05              7.6e-06
40)      7.91e-05              7.7e-06
41)      7.67e-05              7.7e-06
42)      7.7e-05              7.6e-06
43)      0.0001711              1.69e-05

Test: 0

 Remove : 
     Ñartesian                   AVL 
1)      7.66e-05              7.5e-06
2)      7.72e-05              7.7e-06
3)      7.76e-05              7.7e-06
4)      7.68e-05              8.4e-06
5)      7.69e-05              7.9e-06
6)      7.66e-05              7.8e-06
7)      0.0001707              1.7e-05
8)      7.73e-05              7.6e-06
9)      7.7e-05              7.7e-06
10)      7.73e-05              7.6e-06
11)      0.000123              7.6e-06
12)      7.71e-05              7.6e-06
13)      7.66e-05              7.6e-06
14)      7.69e-05              7.7e-06
15)      0.0001484              8.4e-06
16)      7.82e-05              7.7e-06
17)      7.71e-05              7.9e-06
18)      7.75e-05              9.3e-06
19)      7.72e-05              7.6e-06
20)      7.79e-05              7.8e-06
21)      8.44e-05              7.8e-06
22)      8.37e-05              7.6e-06
23)      7.75e-05              7.6e-06
24)      0.0001716              1.69e-05
25)      7.68e-05              7.6e-06
26)      8.15e-05              8.5e-06
27)      8.29e-05              7.6e-06
28)      7.8e-05              7.6e-06
29)      7.75e-05              7.7e-06
30)      7.67e-05              7.8e-06
31)      7.73e-05              7.6e-06
32)      7.72e-05              7.6e-06
33)      7.78e-05              7.9e-06
34)      7.73e-05              7.7e-06
35)      0.0001711              1.68e-05
36)      7.71e-05              7.6e-06
37)      7.69e-05              7.6e-06
38)      7.65e-05              7.6e-06
39)      7.79e-05              8.1e-06
40)      7.71e-05              7.6e-06
41)      7.78e-05              7.5e-06
42)      7.81e-05              7.6e-06
43)      7.83e-05              8.3e-06
44)      7.69e-05              7.5e-06
45)      0.0001755              1.67e-05
46)      7.69e-05              7.7e-06
47)      7.83e-05              7.6e-06
48)      7.71e-05              7.7e-06
49)      7.66e-05              7.5e-06
50)      7.71e-05              7.5e-06

Test: 1

 Remove : 
     Ñartesian                   AVL 
1)      7.69e-05              7.6e-06
2)      7.73e-05              7.7e-06
3)      7.75e-05              7.7e-06
4)      7.74e-05              7.7e-06
5)      7.77e-05              7.5e-06
6)      8.11e-05              7.7e-06
7)      7.75e-05              7.5e-06
