
Test: 0

Depth: 
     Ñartesian                                  AVL
30)     27                      12
31)     25                      12
32)     26                      13
33)     23                      12
34)     23                      12
35)     26                      12
36)     26                      12
37)     25                      13
38)     26                      13
39)     26                      12
40)     24                      12
41)     24                      12
42)     24                      12
43)     25                      12
44)     24                      12
45)     25                      12
46)     23                      12
47)     32                      12
48)     25                      13
49)     23                      12
50)     28                      12

Test: 2

Depth: 
     Ñartesian                                  AVL
1)     31                      13
2)     25                      13
3)     31                      13
4)     29                      14
5)     27                      13
6)     30                      13
7)     28                      14
8)     32                      14
9)     26                      13
10)     25                      13
11)     27                      14
12)     29                      14
13)     27                      14
14)     26                      13
15)     24                      13
16)     28                      14
17)     28                      14
18)     25                      14
19)     23                      13
20)     28                      13
21)     28                      14
22)     26                      13
23)     29                      13
24)     27                      14
25)     31                      13
26)     27                      14
27)     27                      14
28)     28                      14
29)     28                      14
30)     25                      14
31)     27                      14
32)     26                      14
33)     27                      14
34)     28                      14
35)     27                      14
36)     28                      13
37)     29                      14
38)     27                      14

Test: 0

Depth: 
     Ñartesian                                  AVL
1)     22                      11
2)     24                      12
3)     23                      11
4)     22                      11
5)     20                      11
6)     24                      11
7)     22                      11
8)     25                      11
9)     20                      11
10)     25                      11
11)     24                      11
12)     22                      11
13)     27                      12
14)     20                      11
15)     22                      11
16)     21                      11
17)     21                      11
18)     26                      11
19)     20                      11
20)     26                      11
21)     21                      12
22)     23                      11
23)     22                      11
24)     21                      11
25)     23                      11
26)     20                      11
27)     22                      11
28)     24                      11
29)     24                      11
30)     23                      12
31)     22                      11
32)     20                      11
33)     23                      11
34)     25                      11
35)     24                      11
36)     21                      11
37)     25                      11
38)     21                      12
39)     21                      11
40)     26                      11
41)     21                      11
42)     22                      12
43)     22                      11
44)     25                      11
45)     22                      11
46)     23                      11
47)     22                      11
48)     19                      11
49)     21                      11
50)     23                      11

Test: 1

Depth: 
     Ñartesian                                  AVL
1)     27                      13
2)     25                      12
3)     26                      12
4)     25                      12
5)     26                      12
6)     28                      12
7)     24                      13
8)     23                      12
9)     22                      12
10)     26                      13
11)     24                      13
12)     25                      13
13)     27                      12
14)     24                      12
15)     22                      13
16)     23                      13
17)     26                      12
18)     25                      12
19)     26                      12
20)     25                      12
21)     26                      12
22)     28                      12
23)     24                      12
24)     23                      12
25)     22                      12
26)     26                      12
27)     28                      13
28)     22                      12
29)     23                      12
30)     22                      13
31)     27                      13
32)     30                      12
33)     24                      12
34)     26                      13
35)     27                      12
36)     23                      13
37)     26                      13
38)     24                      12
39)     25                      12
40)     23                      12
41)     26                      13
42)     23                      12
43)     25                      12
44)     24                      12
45)     24                      12
46)     23                      12
47)     25                      13
48)     26                      13
49)     22                      12
50)     26                      13

Test: 2

Depth: 
     Ñartesian                                  AVL
1)     32                      14
2)     27                      13
3)     26                      14
4)     24                      14
5)     28                      14
6)     26                      14
7)     27                      14
8)     29                      14
9)     30                      14
10)     26                      13
11)     27                      14
12)     28                      14
13)     28                      13
14)     27                      13
15)     32                      14
16)     27                      13
17)     29                      13
18)     28                      13
19)     26                      14
20)     27                      14
21)     29                      14
22)     27                      14
23)     28                      13
24)     26                      14
25)     27                      13
26)     27                      14
27)     29                      13
28)     28                      13
29)     26                      13
30)     29                      14
31)     26                      13
32)     27                      14
33)     27                      14
34)     26                      14
35)     29                      13
36)     28                      14
37)     27                      14
38)     29                      14
39)     25                      14
40)     29                      14
41)     26                      14
