
Test: 0

Search: 
     Ñartesian                      AVL
38)     6.17e-05           5.86e-05
39)     6.01e-05           5.87e-05
40)     6.17e-05           5.86e-05
41)     0.0001383           0.0001315
42)     0.0001384           0.0001315
43)     0.0001383           0.0001344
44)     6.14e-05           5.87e-05
45)     6.03e-05           5.85e-05
46)     0.0001396           0.0001309
47)     6.16e-05           5.85e-05
48)     6.18e-05           5.83e-05
49)     6.18e-05           5.86e-05
50)     6.2e-05           5.97e-05

Test: 4

Search: 
     Ñartesian                      AVL
1)     6.15e-05           5.83e-05
2)     6.03e-05           5.86e-05
3)     0.0001892           7.12e-05
4)     6.18e-05           5.97e-05
5)     6.24e-05           6.04e-05
6)     6.06e-05           5.86e-05
7)     6.23e-05           5.86e-05
8)     0.0001384           0.0001314
9)     6.39e-05           5.85e-05
10)     6.17e-05           5.86e-05
11)     6.15e-05           5.85e-05
12)     6.17e-05           5.97e-05
13)     6.28e-05           5.94e-05
14)     6.68e-05           5.65e-05
15)     6.17e-05           6.07e-05
16)     6.01e-05           5.83e-05
17)     6.26e-05           6.09e-05
18)     6.53e-05           6.02e-05
19)     6.16e-05           5.83e-05
20)     6.16e-05           5.85e-05
21)     6.17e-05           5.85e-05
22)     6.07e-05           5.64e-05
23)     7.08e-05           6.1e-05
24)     0.0001888           0.0001794
25)     6.15e-05           5.84e-05
26)     6.24e-05           5.85e-05
27)     5.97e-05           5.83e-05
28)     0.00014           0.0001315
29)     0.0001381           0.0001344
30)     6.04e-05           5.85e-05
31)     6.17e-05           5.86e-05
32)     6.24e-05           5.85e-05
33)     0.0001254           6.19e-05
34)     0.0001437           0.0001315
35)     6.17e-05           5.85e-05
36)     6.14e-05           5.86e-05
37)     0.0001346           0.000131
38)     0.0001376           0.0001315
39)     6.01e-05           5.82e-05
40)     6e-05           5.83e-05
41)     6.15e-05           5.85e-05
42)     6.03e-05           5.86e-05
43)     6.39e-05           6.02e-05
44)     0.0001377           0.0001389
45)     6.12e-05           5.82e-05
46)     6.01e-05           5.85e-05
47)     0.0001456           0.000131
48)     6.16e-05           5.82e-05
49)     6.18e-05           5.83e-05
50)     6.04e-05           5.86e-05

Test: 5

Search: 
     Ñartesian                      AVL
1)     6.14e-05           5.83e-05
2)     6.03e-05           5.85e-05
3)     6.66e-05           5.85e-05
4)     6.03e-05           5.85e-05
5)     6.18e-05           5.85e-05
6)     6.03e-05           5.84e-05
7)     0.0001356           0.0001315
8)     6.13e-05           6.42e-05
9)     0.0001352           0.0001315
10)     5.99e-05           5.83e-05
11)     6.21e-05           5.88e-05
12)     6.03e-05           5.86e-05
13)     6.38e-05           5.85e-05
14)     6.15e-05           5.85e-05
15)     6.12e-05           5.82e-05
16)     6.19e-05           5.83e-05
17)     6.14e-05           5.83e-05
18)     7.06e-05           5.52e-05
19)     6.04e-05           5.88e-05
20)     6.03e-05           5.85e-05
21)     6.33e-05           5.97e-05
22)     6.19e-05           5.85e-05
23)     6.17e-05           5.85e-05
24)     0.0001383           0.0001315
25)     6.16e-05           5.83e-05
26)     6.04e-05           5.86e-05
27)     0.0001425           0.0001315
28)     6.26e-05           6.1e-05
29)     6.17e-05           5.85e-05
30)     0.0001377           0.0001312
31)     6.31e-05           5.87e-05
32)     6.03e-05           5.85e-05
33)     6.3e-05           5.84e-05
34)     6.19e-05           5.86e-05
35)     6.33e-05           5.98e-05
36)     6.2e-05           5.85e-05
37)     6.14e-05           5.87e-05
38)     0.0001282           0.0001317
39)     6.33e-05           5.97e-05
40)     6.2e-05           5.85e-05
41)     6.38e-05           5.83e-05
42)     0.0001378           0.0001309
43)     0.0001383           0.0001315

Test: 0

Search: 
     Ñartesian                      AVL
1)     6.2e-05           5.88e-05
2)     6.12e-05           5.82e-05
3)     6.32e-05           5.97e-05
4)     6.15e-05           5.85e-05
5)     0.00014           0.0001315
6)     6.14e-05           5.82e-05
7)     6.02e-05           5.85e-05
8)     0.0001392           0.0001316
9)     6.14e-05           5.85e-05
10)     0.000138           0.0001314
11)     6.03e-05           5.83e-05
12)     6.15e-05           5.84e-05
13)     6.15e-05           6.04e-05
14)     6.41e-05           5.84e-05
15)     6.3e-05           5.87e-05
16)     6.19e-05           5.85e-05
17)     5.98e-05           5.83e-05
18)     6.2e-05           6.15e-05
19)     6.16e-05           6.21e-05
20)     6e-05           5.82e-05
